Temporada,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Resultado,Arbitro
2013-14,11,MIE 30.10.2013,22:00,CA Osasuna,Rayo Vallecano,3-1,-
2013-14,11,MIE 30.10.2013,22:00,Real Madrid,Sevilla FC,7-3,-
2013-14,11,JUE 31.10.2013,20:00,Granada CF,Atlético de Madrid,1-2,-
2013-14,11,JUE 31.10.2013,20:00,Villarreal CF,Getafe CF,0-2,-
2013-14,11,JUE 31.10.2013,22:00,Athletic Club,Elche CF,2-2,-
2013-14,11,JUE 31.10.2013,22:00,Real Betis,Levante UD,0-0,-
2013-14,12,VIE 01.11.2013,21:00,FC Barcelona,RCD Espanyol de Barcelona,1-0,-
2013-14,12,SAB 02.11.2013,16:00,Real Sociedad,CA Osasuna,5-0,-
2013-14,12,SAB 02.11.2013,18:00,UD Almería,Real Valladolid CF,1-0,-
2013-14,12,SAB 02.11.2013,20:00,Rayo Vallecano,Real Madrid,2-3,-
2013-14,12,SAB 02.11.2013,22:00,Sevilla FC,RC Celta,0-1,-
2013-14,12,DOM 03.11.2013,12:00,Getafe CF,Valencia CF,0-1,-
2013-14,12,DOM 03.11.2013,17:00,Atlético de Madrid,Athletic Club,2-0,-
2013-14,12,DOM 03.11.2013,19:00,Levante UD,Granada CF,0-1,-
2013-14,12,DOM 03.11.2013,21:00,Málaga CF,Real Betis,3-2,-
2013-14,12,LUN 04.11.2013,22:00,Elche CF,Villarreal CF,0-1,-
2013-14,13,VIE 08.11.2013,20:00,CA Osasuna,UD Almería,0-1,-
2013-14,13,VIE 08.11.2013,22:00,Granada CF,Málaga CF,3-1,-
2013-14,13,SAB 09.11.2013,16:00,Real Madrid,Real Sociedad,5-1,-
2013-14,13,SAB 09.11.2013,18:00,Getafe CF,Elche CF,1-1,-
2013-14,13,SAB 09.11.2013,20:00,Athletic Club,Levante UD,2-1,-
2013-14,13,SAB 09.11.2013,22:00,RC Celta,Rayo Vallecano,0-2,-
2013-14,13,DOM 10.11.2013,12:00,RCD Espanyol de Barcelona,Sevilla FC,1-3,-
2013-14,13,DOM 10.11.2013,17:00,Valencia CF,Real Valladolid CF,2-2,-
2013-14,13,DOM 10.11.2013,19:00,Villarreal CF,Atlético de Madrid,1-1,-
2013-14,13,DOM 10.11.2013,21:00,Real Betis,FC Barcelona,1-4,-
2013-14,14,VIE 22.11.2013,21:00,Real Valladolid CF,CA Osasuna,0-1,-
2013-14,14,SAB 23.11.2013,16:00,FC Barcelona,Granada CF,4-0,-
2013-14,14,SAB 23.11.2013,18:00,Real Sociedad,RC Celta,4-3,-
2013-14,14,SAB 23.11.2013,20:00,UD Almería,Real Madrid,0-5,-
2013-14,14,SAB 23.11.2013,22:00,Atlético de Madrid,Getafe CF,7-0,-
2013-14,14,DOM 24.11.2013,12:00,Levante UD,Villarreal CF,0-3,-
2013-14,14,DOM 24.11.2013,17:00,Rayo Vallecano,RCD Espanyol de Barcelona,1-4,-
2013-14,14,DOM 24.11.2013,19:00,Elche CF,Valencia CF,2-1,-
2013-14,14,DOM 24.11.2013,21:00,Sevilla FC,Real Betis,4-0,-
2013-14,14,LUN 25.11.2013,22:00,Málaga CF,Athletic Club,1-2,-
2013-14,15,VIE 29.11.2013,20:00,Getafe CF,Levante UD,1-0,-
2013-14,15,VIE 29.11.2013,20:30,Villarreal CF,Málaga CF,1-1,-
2013-14,15,SAB 30.11.2013,16:00,Elche CF,Atlético de Madrid,0-2,-
2013-14,15,SAB 30.11.2013,18:00,RC Celta,UD Almería,3-1,-
2013-14,15,SAB 30.11.2013,20:00,Real Madrid,Real Valladolid CF,4-0,-
2013-14,15,SAB 30.11.2013,22:00,RCD Espanyol de Barcelona,Real Sociedad,1-2,-
2013-14,15,DOM 01.12.2013,12:00,Real Betis,Rayo Vallecano,2-2,-
2013-14,15,DOM 01.12.2013,17:00,Granada CF,Sevilla FC,1-2,-
2013-14,15,DOM 01.12.2013,19:00,Valencia CF,CA Osasuna,3-0,-
2013-14,15,DOM 01.12.2013,21:00,Athletic Club,FC Barcelona,1-0,-
2013-14,16,VIE 13.12.2013,21:00,Levante UD,Elche CF,2-1,-
2013-14,16,SAB 14.12.2013,16:00,CA Osasuna,Real Madrid,2-2,-
2013-14,16,SAB 14.12.2013,18:00,Rayo Vallecano,Granada CF,0-2,-
2013-14,16,SAB 14.12.2013,20:00,FC Barcelona,Villarreal CF,2-1,-
2013-14,16,SAB 14.12.2013,22:00,Málaga CF,Getafe CF,1-0,-
2013-14,16,DOM 15.12.2013,12:00,UD Almería,RCD Espanyol de Barcelona,0-0,-
2013-14,16,DOM 15.12.2013,17:00,Real Sociedad,Real Betis,5-1,-
2013-14,16,DOM 15.12.2013,19:00,Sevilla FC,Athletic Club,1-1,-
2013-14,16,DOM 15.12.2013,21:00,Atlético de Madrid,Valencia CF,3-0,-
2013-14,16,LUN 16.12.2013,22:00,Real Valladolid CF,RC Celta,3-0,-
2013-14,17,VIE 20.12.2013,20:30,Elche CF,Málaga CF,0-1,-
2013-14,17,SAB 21.12.2013,16:00,Villarreal CF,Sevilla FC,1-2,-
2013-14,17,SAB 21.12.2013,18:00,Real Betis,UD Almería,0-1,-
2013-14,17,SAB 21.12.2013,20:00,Atlético de Madrid,Levante UD,3-2,-
2013-14,17,SAB 21.12.2013,22:00,Granada CF,Real Sociedad,1-3,-
2013-14,17,DOM 22.12.2013,12:00,RCD Espanyol de Barcelona,Real Valladolid CF,4-2,-
2013-14,17,DOM 22.12.2013,17:00,Getafe CF,FC Barcelona,2-5,-
2013-14,17,DOM 22.12.2013,19:00,Athletic Club,Rayo Vallecano,2-1,-
2013-14,17,DOM 22.12.2013,21:00,RC Celta,CA Osasuna,1-1,-
2013-14,17,DOM 22.12.2013,21:00,Valencia CF,Real Madrid,2-3,-
2013-14,18,SAB 04.01.2014,16:00,Málaga CF,Atlético de Madrid,0-1,-
2013-14,18,SAB 04.01.2014,18:00,Real Valladolid CF,Real Betis,0-0,-
2013-14,18,SAB 04.01.2014,20:00,Valencia CF,Levante UD,2-0,-
2013-14,18,SAB 04.01.2014,22:00,UD Almería,Granada CF,3-0,-
2013-14,18,DOM 05.01.2014,12:00,Sevilla FC,Getafe CF,3-0,-
2013-14,18,DOM 05.01.2014,16:00,FC Barcelona,Elche CF,4-0,-
2013-14,18,DOM 05.01.2014,18:00,CA Osasuna,RCD Espanyol de Barcelona,1-0,-
2013-14,18,DOM 05.01.2014,20:00,Real Sociedad,Athletic Club,2-0,-
2013-14,18,LUN 06.01.2014,19:00,Real Madrid,RC Celta,3-0,-
2013-14,18,LUN 06.01.2014,22:00,Rayo Vallecano,Villarreal CF,2-5,-
2013-14,19,VIE 10.01.2014,21:00,Granada CF,Real Valladolid CF,4-0,-
2013-14,19,SAB 11.01.2014,16:00,Athletic Club,UD Almería,6-1,-
2013-14,19,SAB 11.01.2014,18:00,RC Celta,Valencia CF,2-1,-
2013-14,19,SAB 11.01.2014,20:00,Atlético de Madrid,FC Barcelona,0-0,-
2013-14,19,SAB 11.01.2014,22:00,Elche CF,Sevilla FC,1-1,-
2013-14,19,DOM 12.01.2014,12:00,Getafe CF,Rayo Vallecano,0-1,-
2013-14,19,DOM 12.01.2014,17:00,Real Betis,CA Osasuna,1-2,-
2013-14,19,DOM 12.01.2014,19:00,RCD Espanyol de Barcelona,Real Madrid,0-1,-
2013-14,19,DOM 12.01.2014,21:00,Levante UD,Málaga CF,1-0,-
2013-14,19,LUN 13.01.2014,22:00,Villarreal CF,Real Sociedad,5-1,-
2013-14,20,VIE 17.01.2014,21:00,Málaga CF,Valencia CF,0-0,-
2013-14,20,SAB 18.01.2014,16:00,Real Betis,Real Madrid,0-5,-
2013-14,20,SAB 18.01.2014,18:00,Elche CF,Rayo Vallecano,2-0,-
2013-14,20,SAB 18.01.2014,20:00,Granada CF,CA Osasuna,0-0,-
2013-14,20,SAB 18.01.2014,22:00,RCD Espanyol de Barcelona,RC Celta,1-0,-
2013-14,20,DOM 19.01.2014,12:00,Getafe CF,Real Sociedad,2-2,-
2013-14,20,DOM 19.01.2014,17:00,Villarreal CF,UD Almería,2-0,-
2013-14,20,DOM 19.01.2014,19:00,Levante UD,FC Barcelona,1-1,-
2013-14,20,DOM 19.01.2014,21:00,Atlético de Madrid,Sevilla FC,1-1,-
2013-14,20,LUN 20.01.2014,22:00,Athletic Club,Real Valladolid CF,4-2,-
2013-14,21,VIE 24.01.2014,21:00,RC Celta,Real Betis,4-2,-
2013-14,21,SAB 25.01.2014,16:00,Real Madrid,Granada CF,2-0,-
2013-14,21,SAB 25.01.2014,18:00,Real Valladolid CF,Villarreal CF,1-0,-
2013-14,21,SAB 25.01.2014,20:00,Valencia CF,RCD Espanyol de Barcelona,2-2,-
2013-14,21,SAB 25.01.2014,22:00,Sevilla FC,Levante UD,2-3,-
2013-14,21,DOM 26.01.2014,12:00,UD Almería,Getafe CF,1-0,-
2013-14,21,DOM 26.01.2014,17:00,CA Osasuna,Athletic Club,1-5,-
2013-14,21,DOM 26.01.2014,19:00,Rayo Vallecano,Atlético de Madrid,2-4,-
2013-14,21,DOM 26.01.2014,21:00,FC Barcelona,Málaga CF,3-0,-
2013-14,21,LUN 27.01.2014,22:00,Real Sociedad,Elche CF,4-0,-
2013-14,22,VIE 31.01.2014,21:00,Granada CF,RC Celta,1-2,-
2013-14,22,SAB 01.02.2014,16:00,FC Barcelona,Valencia CF,2-3,-
2013-14,22,SAB 01.02.2014,18:00,Levante UD,Rayo Vallecano,0-0,-
2013-14,22,SAB 01.02.2014,20:00,Getafe CF,Real Valladolid CF,0-0,-
2013-14,22,SAB 01.02.2014,22:00,Málaga CF,Sevilla FC,3-2,-
2013-14,22,DOM 02.02.2014,12:00,Elche CF,UD Almería,1-0,-
2013-14,22,DOM 02.02.2014,17:00,Real Betis,RCD Espanyol de Barcelona,2-0,-
2013-14,22,DOM 02.02.2014,19:00,Atlético de Madrid,Real Sociedad,4-0,-
2013-14,22,DOM 02.02.2014,21:00,Athletic Club,Real Madrid,1-1,-
2013-14,22,LUN 03.02.2014,22:00,Villarreal CF,CA Osasuna,3-1,-
2013-14,23,VIE 07.02.2014,21:00,RCD Espanyol de Barcelona,Granada CF,1-0,-
2013-14,23,SAB 08.02.2014,16:00,Valencia CF,Real Betis,5-0,-
2013-14,23,SAB 08.02.2014,18:00,Rayo Vallecano,Málaga CF,4-1,-
2013-14,23,SAB 08.02.2014,20:00,Real Madrid,Villarreal CF,4-2,-
2013-14,23,SAB 08.02.2014,22:00,UD Almería,Atlético de Madrid,2-0,-
2013-14,23,DOM 09.02.2014,12:00,CA Osasuna,Getafe CF,2-0,-
2013-14,23,DOM 09.02.2014,17:00,Real Valladolid CF,Elche CF,2-2,-
2013-14,23,DOM 09.02.2014,19:00,Real Sociedad,Levante UD,0-0,-
2013-14,23,DOM 09.02.2014,21:00,Sevilla FC,FC Barcelona,1-4,-
2013-14,23,LUN 10.02.2014,22:00,RC Celta,Athletic Club,0-0,-
2013-14,24,VIE 14.02.2014,21:00,Elche CF,CA Osasuna,0-0,-
2013-14,24,SAB 15.02.2014,16:00,Atlético de Madrid,Real Valladolid CF,3-0,-
2013-14,24,SAB 15.02.2014,18:00,Levante UD,UD Almería,1-0,-
2013-14,24,SAB 15.02.2014,20:00,FC Barcelona,Rayo Vallecano,6-0,-
2013-14,24,SAB 15.02.2014,22:00,Villarreal CF,RC Celta,0-2,-
2013-14,24,DOM 16.02.2014,12:00,Granada CF,Real Betis,1-0,-
2013-14,24,DOM 16.02.2014,17:00,Getafe CF,Real Madrid,0-3,-
2013-14,24,DOM 16.02.2014,19:00,Athletic Club,RCD Espanyol de Barcelona,1-2,-
2013-14,24,DOM 16.02.2014,21:00,Sevilla FC,Valencia CF,0-0,-
2013-14,24,LUN 17.02.2014,22:00,Málaga CF,Real Sociedad,0-1,-
2013-14,25,VIE 21.02.2014,21:00,Real Valladolid CF,Levante UD,1-1,-
2013-14,25,SAB 22.02.2014,16:00,Real Madrid,Elche CF,3-0,-
2013-14,25,SAB 22.02.2014,18:00,RC Celta,Getafe CF,1-1,-
2013-14,25,SAB 22.02.2014,20:00,Real Sociedad,FC Barcelona,3-1,-
2013-14,25,SAB 22.02.2014,22:00,UD Almería,Málaga CF,0-0,-
2013-14,25,DOM 23.02.2014,12:00,Rayo Vallecano,Sevilla FC,0-1,-
2013-14,25,DOM 23.02.2014,17:00,Real Betis,Athletic Club,0-2,-
2013-14,25,DOM 23.02.2014,19:00,Valencia CF,Granada CF,2-1,-
2013-14,25,DOM 23.02.2014,21:00,CA Osasuna,Atlético de Madrid,3-0,-
2013-14,25,LUN 24.02.2014,22:00,RCD Espanyol de Barcelona,Villarreal CF,1-2,-
2013-14,26,VIE 28.02.2014,20:30,Athletic Club,Granada CF,4-0,-
2013-14,26,SAB 01.03.2014,16:00,Málaga CF,Real Valladolid CF,1-1,-
2013-14,26,SAB 01.03.2014,18:00,Levante UD,CA Osasuna,2-0,-
2013-14,26,SAB 01.03.2014,20:00,Getafe CF,RCD Espanyol de Barcelona,0-0,-
2013-14,26,SAB 01.03.2014,22:00,Elche CF,RC Celta,1-0,-
2013-14,26,DOM 02.03.2014,12:00,Villarreal CF,Real Betis,1-1,-
2013-14,26,DOM 02.03.2014,17:00,Atlético de Madrid,Real Madrid,2-2,-
2013-14,26,DOM 02.03.2014,19:00,Sevilla FC,Real Sociedad,1-0,-
2013-14,26,DOM 02.03.2014,21:00,FC Barcelona,UD Almería,4-1,-
